	T1001	T1002	T1003	T2001	T2002	T2003	T1091	T1092	T1093	T2091	T2092	T2093
T1001	0.0	0.4767370950962242	0.5114737699720483	0.7273781416275928	0.7254686507415887	0.6860658953208529	0.6771557451627925	0.6860539218077149	0.6615384425991886	0.6240252875488002	0.5991533423975484	0.6066486039105083
T1002	0.4767370950962242	0.0	0.38815968414397484	0.6680393184043516	0.646679837107107	0.5960834218114716	0.6266607362406738	0.6383527379493865	0.5827121988663395	0.5301706185764641	0.4990809578778923	0.5178217551839552
T1003	0.5114737699720483	0.38815968414397484	0.0	0.6895668818714824	0.6381257674319458	0.5926034231206798	0.6044296416520212	0.6309149711728166	0.5807479024394915	0.5438534510256895	0.5321902154691883	0.5227884683624044
T2001	0.7273781416275928	0.6680393184043516	0.6895668818714824	0.0	0.45824351037876865	0.46461692467062354	0.7130131634313671	0.7088774543929574	0.6923752992365968	0.6310615630003172	0.6141299327930327	0.6223554512867333
T2002	0.7254686507415887	0.646679837107107	0.6381257674319458	0.45824351037876865	0.0	0.4329759799221342	0.708668332380316	0.7094815891504748	0.668454925819238	0.6104135871913017	0.5942741225504333	0.597114601633567
T2003	0.6860658953208529	0.5960834218114716	0.5926034231206798	0.46461692467062354	0.4329759799221342	0.0	0.6835297266908802	0.6907947401606578	0.6542640176684955	0.5630654515995666	0.5578582192449537	0.5653793379839043
T1091	0.6771557451627925	0.6266607362406738	0.6044296416520212	0.7130131634313671	0.708668332380316	0.6835297266908802	0.0	0.49078250924792366	0.48363047770278533	0.6231989435984309	0.6276678075237732	0.5857534581708117
T1092	0.6860539218077149	0.6383527379493865	0.6309149711728166	0.7088774543929574	0.7094815891504748	0.6907947401606578	0.49078250924792366	0.0	0.51874287675584	0.6463483053524919	0.6470382308947851	0.6165086853773092
T1093	0.6615384425991886	0.5827121988663395	0.5807479024394915	0.6923752992365968	0.668454925819238	0.6542640176684955	0.48363047770278533	0.51874287675584	0.0	0.5739822761937506	0.5883106272774172	0.5506962664539496
T2091	0.6240252875488002	0.5301706185764641	0.5438534510256895	0.6310615630003172	0.6104135871913017	0.5630654515995666	0.6231989435984309	0.6463483053524919	0.5739822761937506	0.0	0.364442561542192	0.4004672989583128
T2092	0.5991533423975484	0.4990809578778923	0.5321902154691883	0.6141299327930327	0.5942741225504333	0.5578582192449537	0.6276678075237732	0.6470382308947851	0.5883106272774172	0.364442561542192	0.0	0.40159921970598844
T2093	0.6066486039105083	0.5178217551839552	0.5227884683624044	0.6223554512867333	0.597114601633567	0.5653793379839043	0.5857534581708117	0.6165086853773092	0.5506962664539496	0.4004672989583128	0.40159921970598844	0.0
