Sample_Name	chao1	dominance	goods_coverage	observed_features	pielou_e	shannon	simpson
T1001	213.000	0.014	1.000	213	0.895	6.923	0.986
T1002	413.382	0.007	0.981	379	0.903	7.735	0.993
T1003	568.343	0.013	0.963	500	0.868	7.785	0.987
T2001	1177.660	0.011	0.891	778	0.847	8.137	0.989
T2002	1422.062	0.007	0.866	931	0.877	8.648	0.993
T2003	963.893	0.005	0.923	755	0.904	8.647	0.995
T1091	585.786	0.011	0.959	514	0.857	7.722	0.989
T1092	614.724	0.028	0.950	480	0.801	7.136	0.972
T1093	625.417	0.011	0.953	514	0.861	7.751	0.989
T2091	677.287	0.019	0.945	516	0.828	7.462	0.981
T2092	599.700	0.015	0.957	501	0.851	7.630	0.985
T2093	634.830	0.062	0.946	471	0.732	6.498	0.938
