	T1001	T1002	T1003	T2001	T2002	T2003	T1091	T1092	T1093	T2091	T2092	T2093
T1001	0.0	0.124266930527897	0.11726594900521153	0.3233719004809933	0.22462383982403433	0.18560002681177193	0.35876540352329855	0.36789868096443895	0.2722309751048437	0.24548208995953402	0.22398836595125687	0.22746765339117106
T1002	0.124266930527897	0.0	0.11183087140128756	0.3053818631652361	0.2208731653746168	0.16394898127713062	0.33558355319527894	0.351866923543225	0.25333998184794604	0.22770639310177807	0.19839609891201718	0.2496921851213979
T1003	0.11726594900521153	0.11183087140128756	0.0	0.3449455810239117	0.23940525026210913	0.1933891159537094	0.34756069844267323	0.35623512587277745	0.25836977072808087	0.2232563394503372	0.19853790282096873	0.17154699297087678
T2001	0.3233719004809933	0.3053818631652361	0.3449455810239117	0.0	0.18599842231238506	0.2287403026293685	0.4275984222004905	0.41354955869006743	0.36636538022348253	0.3467940187789699	0.3199479561324341	0.3715019171118945
T2002	0.22462383982403433	0.2208731653746168	0.23940525026210913	0.18599842231238506	0.0	0.12934000144635194	0.38930390259932557	0.38028276300735747	0.30962588557939913	0.2841891083893317	0.26046716875505826	0.2697825617253219
T2003	0.18560002681177193	0.16394898127713062	0.1933891159537094	0.2287403026293685	0.12934000144635194	0.0	0.34368889681146536	0.3393898810024525	0.25756309901226243	0.23414208615144083	0.19636258821857758	0.244887566076027
T1091	0.35876540352329855	0.33558355319527894	0.34756069844267323	0.4275984222004905	0.38930390259932557	0.34368889681146536	0.0	0.1574946091425506	0.20237369428050275	0.3032136328549969	0.2814875812299203	0.35292187539147757
T1092	0.36789868096443895	0.351866923543225	0.35623512587277745	0.41354955869006743	0.38028276300735747	0.3393898810024525	0.1574946091425506	0.0	0.19279915474248926	0.29646822134886575	0.30437562489791536	0.35495834952299204
T1093	0.2722309751048437	0.25333998184794604	0.25836977072808087	0.36636538022348253	0.30962588557939913	0.25756309901226243	0.20237369428050275	0.19279915474248926	0.0	0.24142345009503374	0.2202425213798283	0.2864474366253832
T2091	0.24548208995953402	0.22770639310177807	0.2232563394503372	0.3467940187789699	0.2841891083893317	0.23414208615144083	0.3032136328549969	0.29646822134886575	0.24142345009503374	0.0	0.10661477244665848	0.19146687256897604
T2092	0.22398836595125687	0.19839609891201718	0.19853790282096873	0.3199479561324341	0.26046716875505826	0.19636258821857758	0.2814875812299203	0.30437562489791536	0.2202425213798283	0.10661477244665848	0.0	0.1822519798782955
T2093	0.22746765339117106	0.2496921851213979	0.17154699297087678	0.3715019171118945	0.2697825617253219	0.244887566076027	0.35292187539147757	0.35495834952299204	0.2864474366253832	0.19146687256897604	0.1822519798782955	0.0
