#OTU_num	D1	D2	D3	D4	D5	DF1	DF2	DF3	DF4	DF5	Y.K1	Y.K2	Y.K3	Y.K4	Y.K5	Y.M1	Y.M2	Y.M3	Y.M4	Y.M5	Y.J1	Y.J2	Y.J3	Y.J4	Y.J5	Y.U1	Y.U2	Y.U3	Y.U4	Y.U5	Z.K1	Z.K2	Z.K3	Z.K4	Z.K5	Z.M1	Z.M2	Z.M3	Z.M4	Z.M5	Z.J1	Z.J2	Z.J3	Z.J4	Z.J5	Z.U1	Z.U2	Z.U3	Z.U4	Z.U5	Taxonomy
ASV0	10251.0	9932.0	8354.0	10625.0	3597.0	10975.0	4384.0	3645.0	3010.0	6864.0	50.0	43.0	78.0	138.0	42.0	122.0	2.0	164.0	451.0	186.0	332.0	52.0	0.0	248.0	86.0	230.0	32455.0	26310.0	588.0	2745.0	850.0	347.0	1454.0	2503.0	311.0	7088.0	0.0	13202.0	3863.0	99.0	7057.0	1561.0	5783.0	3669.0	944.0	3167.0	13328.0	4135.0	20225.0	27390.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__
ASV1	7446.0	7723.0	4762.0	5065.0	3107.0	7544.0	4150.0	3097.0	2820.0	3465.0	8.0	35.0	76.0	142.0	31.0	82.0	2.0	68.0	199.0	84.0	195.0	56.0	0.0	183.0	62.0	165.0	17940.0	15348.0	374.0	2088.0	421.0	284.0	1259.0	1600.0	275.0	5288.0	0.0	7121.0	2199.0	41.0	4744.0	1337.0	4125.0	2663.0	800.0	2306.0	8930.0	3065.0	10463.0	13564.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__
ASV2	2747.0	1722.0	3295.0	3662.0	5933.0	3450.0	389.0	746.0	1672.0	1216.0	45.0	144.0	8.0	624.0	210.0	8526.0	969.0	5890.0	3150.0	12591.0	9052.0	2244.0	1521.0	486.0	8944.0	3592.0	1885.0	1836.0	296.0	6109.0	178.0	71.0	66.0	129.0	505.0	6094.0	3086.0	729.0	5515.0	5394.0	280.0	170.0	3374.0	6992.0	10020.0	2882.0	786.0	7841.0	2336.0	2856.0	k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__
ASV3	726.0	546.0	159.0	744.0	195.0	620.0	264.0	240.0	488.0	737.0	2.0	11.0	6.0	14.0	858.0	6334.0	6687.0	15544.0	5184.0	2762.0	306.0	4921.0	3541.0	2452.0	3744.0	16820.0	2143.0	932.0	16432.0	6335.0	46.0	81.0	44.0	212.0	252.0	4885.0	10283.0	17.0	518.0	5032.0	41.0	115.0	1230.0	1644.0	113.0	2644.0	734.0	3018.0	1052.0	570.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__
ASV4	2049.0	1470.0	1790.0	1966.0	5935.0	2444.0	398.0	600.0	1575.0	580.0	51.0	74.0	16.0	330.0	95.0	7890.0	636.0	3044.0	1519.0	6040.0	5369.0	1508.0	996.0	317.0	5973.0	2545.0	1048.0	1095.0	197.0	4546.0	102.0	48.0	39.0	99.0	349.0	4642.0	2668.0	474.0	3178.0	2743.0	271.0	162.0	2501.0	5280.0	7727.0	2025.0	548.0	5993.0	1335.0	1529.0	k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__
ASV5	2450.0	2609.0	1559.0	2960.0	740.0	2756.0	942.0	1033.0	796.0	906.0	113.0	242.0	68.0	13.0	84.0	948.0	4.0	767.0	3025.0	690.0	1220.0	994.0	60.0	504.0	19.0	32.0	581.0	2532.0	512.0	560.0	495.0	82.0	795.0	241.0	148.0	4616.0	110.0	3268.0	3902.0	125.0	6910.0	5461.0	5276.0	5249.0	7101.0	6352.0	4526.0	3014.0	6758.0	5343.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
ASV6	583.0	470.0	0.0	441.0	198.0	375.0	220.0	220.0	476.0	385.0	0.0	10.0	0.0	0.0	449.0	5404.0	3753.0	7471.0	2453.0	1291.0	129.0	2951.0	2429.0	1430.0	2522.0	10753.0	1165.0	530.0	9267.0	4509.0	28.0	59.0	38.0	135.0	168.0	3609.0	8297.0	21.0	302.0	2343.0	48.0	112.0	910.0	1105.0	95.0	1789.0	557.0	2337.0	553.0	301.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__
ASV7	724.0	828.0	587.0	774.0	372.0	955.0	251.0	358.0	653.0	1482.0	85.0	14.0	102.0	0.0	1654.0	1114.0	1830.0	6462.0	3408.0	8902.0	880.0	3545.0	6675.0	3265.0	2700.0	4713.0	946.0	1602.0	1247.0	4247.0	0.0	96.0	0.0	33.0	529.0	3094.0	6362.0	223.0	403.0	1413.0	36.0	30.0	853.0	538.0	0.0	1272.0	283.0	1933.0	1886.0	1202.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;s__
ASV8	212.0	28.0	544.0	0.0	124.0	324.0	78.0	0.0	294.0	0.0	3312.0	3711.0	3536.0	122.0	4943.0	288.0	699.0	4480.0	4128.0	6799.0	608.0	2766.0	8853.0	2572.0	6100.0	345.0	29.0	0.0	30.0	322.0	1116.0	2427.0	652.0	2014.0	2084.0	184.0	3170.0	90.0	41.0	249.0	15.0	31.0	935.0	356.0	34.0	20.0	6.0	6.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__
ASV9	1828.0	2288.0	1046.0	1460.0	831.0	2009.0	883.0	914.0	895.0	560.0	65.0	162.0	35.0	10.0	37.0	832.0	0.0	458.0	1393.0	303.0	645.0	621.0	21.0	297.0	0.0	19.0	375.0	1536.0	301.0	352.0	251.0	71.0	543.0	135.0	143.0	3277.0	130.0	1818.0	2048.0	71.0	4549.0	4185.0	3727.0	3663.0	5218.0	4406.0	3005.0	2069.0	3533.0	2773.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
ASV10	721.0	390.0	349.0	334.0	241.0	487.0	116.0	585.0	154.0	2108.0	36.0	0.0	48.0	0.0	492.0	840.0	2752.0	4271.0	1908.0	4315.0	570.0	5031.0	10150.0	4652.0	2788.0	2132.0	398.0	602.0	501.0	1781.0	0.0	0.0	0.0	0.0	168.0	1917.0	2567.0	119.0	356.0	2005.0	0.0	0.0	1236.0	796.0	50.0	2260.0	314.0	886.0	754.0	638.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;s__
ASV11	1181.0	714.0	1117.0	906.0	1643.0	1131.0	392.0	471.0	963.0	182.0	0.0	0.0	10.0	0.0	0.0	936.0	5519.0	25.0	389.0	546.0	4355.0	648.0	1691.0	2382.0	557.0	713.0	2502.0	2102.0	1989.0	2052.0	0.0	0.0	46.0	0.0	0.0	618.0	1060.0	638.0	1242.0	3972.0	2693.0	4990.0	1227.0	2021.0	1502.0	1169.0	1776.0	1018.0	738.0	702.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__
ASV12	306.0	0.0	745.0	728.0	520.0	541.0	164.0	198.0	386.0	1499.0	0.0	114.0	4.0	348.0	8.0	346.0	705.0	449.0	7837.0	1860.0	1976.0	2668.0	248.0	656.0	1362.0	738.0	1143.0	474.0	7853.0	1528.0	364.0	43.0	0.0	249.0	42.0	1136.0	442.0	162.0	3241.0	663.0	2811.0	4198.0	2278.0	1623.0	319.0	727.0	176.0	1298.0	1107.0	614.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
ASV13	213.0	0.0	570.0	96.0	142.0	269.0	242.0	56.0	198.0	2036.0	6182.0	3929.0	3937.0	5644.0	7128.0	540.0	33.0	489.0	309.0	468.0	582.0	520.0	187.0	170.0	37.0	326.0	214.0	218.0	95.0	648.0	2434.0	5074.0	2581.0	2613.0	3078.0	1012.0	12.0	185.0	123.0	124.0	53.0	153.0	170.0	100.0	284.0	540.0	380.0	1232.0	780.0	367.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
ASV14	474.0	102.0	344.0	486.0	688.0	742.0	0.0	277.0	425.0	1351.0	0.0	0.0	6.0	0.0	0.0	1908.0	1999.0	467.0	1430.0	1467.0	2758.0	2028.0	979.0	5596.0	2068.0	4950.0	1037.0	532.0	2619.0	1621.0	0.0	0.0	0.0	0.0	0.0	1658.0	953.0	1431.0	613.0	3857.0	874.0	18.0	1150.0	1116.0	646.0	804.0	1460.0	1263.0	920.0	406.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__
ASV15	583.0	475.0	470.0	471.0	358.0	591.0	257.0	344.0	487.0	919.0	77.0	0.0	98.0	0.0	856.0	956.0	1308.0	2781.0	1337.0	3722.0	534.0	2486.0	5072.0	2201.0	2039.0	3098.0	537.0	854.0	655.0	3125.0	0.0	61.0	0.0	23.0	340.0	1973.0	4806.0	154.0	254.0	902.0	33.0	0.0	705.0	419.0	35.0	1186.0	249.0	1445.0	995.0	534.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;s__
ASV16	420.0	120.0	144.0	312.0	82.0	0.0	192.0	182.0	222.0	2288.0	4946.0	3456.0	3570.0	5028.0	6414.0	434.0	40.0	382.0	236.0	364.0	492.0	484.0	142.0	178.0	30.0	241.0	219.0	142.0	72.0	576.0	1990.0	4414.0	2294.0	2046.0	2565.0	764.0	0.0	144.0	65.0	112.0	33.0	84.0	128.0	71.0	194.0	474.0	291.0	939.0	680.0	367.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
ASV17	942.0	609.0	704.0	575.0	1451.0	914.0	451.0	518.0	905.0	0.0	0.0	0.0	0.0	0.0	0.0	922.0	3402.0	0.0	241.0	268.0	2801.0	439.0	1484.0	1421.0	388.0	653.0	1392.0	1311.0	1293.0	1538.0	0.0	0.0	0.0	0.0	0.0	566.0	977.0	334.0	602.0	2209.0	1623.0	4063.0	947.0	1451.0	1211.0	808.0	1278.0	790.0	419.0	389.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__
ASV18	149.0	25.0	278.0	0.0	112.0	257.0	96.0	0.0	302.0	0.0	1856.0	2575.0	2570.0	58.0	2450.0	304.0	372.0	2261.0	1843.0	2986.0	314.0	1768.0	5969.0	1510.0	3788.0	248.0	6.0	0.0	30.0	219.0	622.0	1537.0	443.0	1515.0	1723.0	110.0	2523.0	44.0	32.0	122.0	15.0	24.0	727.0	303.0	22.0	17.0	12.0	10.0	0.0	7.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__
