pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
D1	-0.2540724426155624	0.07972160170812362	0.1978059673029844	0.07089995048335086	0.10909000103489916	-0.05033752426238485	-0.07649708022874979	-0.03388463706079339	-0.015673216066783638	0.02511213104033816	-0.0173481307378365	-0.12283391996824167	0.2637446261982049	0.012382956571698038	-0.08236811607766847	0.04478567221564978	0.2186867771743037	0.012469661836589332	0.008120626085842114	-0.019706458892229904	0.060075946111292716	-0.06564265873230779	-0.010881058740794317	-0.0029130620095446876	-0.009328526894939976	0.013474339316877493	-0.020285116788825948	-0.00766286404283896	0.011167868320477267	-0.006107624647165847	-0.009428230129199643	0.0047843799982583155	0.004737361712501053	-0.013760919495239743	0.013259327762573768	-0.005738602805618734	0.0031025521060869844	-0.00409793134025293	0.0016244012297347127	-0.0025479602817022762	0.004729583058061263	-0.0024625147739438967	-0.004678874143873188	-0.0018572286909534193	-0.004175292927126213	0.0017511505594439772	0.0009423507949312798	0.003148672191091927	7.63746335694833e-05	-0.0
D2	-0.4094711950747731	0.09082201772557698	0.08641488124977675	-0.026490735113947096	-0.05214772122490421	0.10278822766841657	0.16173102268316017	0.2845672291416714	0.0806775928415246	0.11933174401463954	-0.013737321992006146	0.0740176078964428	0.06411617403357246	-0.16177770264468128	-0.08515523277576655	0.08832682588511218	-0.050274820032041555	-0.013800591421393874	0.02143510129733264	0.008578235250198653	-0.03484820557216808	0.010880639938137366	-0.005154586234894908	0.019982219202317998	-0.012036730164614828	0.009210003713767418	-0.012743522475947395	-0.0068799884752658875	-0.007328041660206682	0.0037729179213048577	0.0009948180823731825	0.00410379703644102	-0.0004497934725152928	-0.0017081724344207305	-0.006670101594027901	-0.0031037881066594123	0.0018279200126393679	0.006500983679739219	0.007332915438079216	-0.00852097043910002	0.001681131399936078	0.002008614157818517	-0.0037689656589015596	0.005167583177665496	-0.006634113015284491	-0.0010994344160578404	0.005196292298396843	-0.0002655846430881471	-0.003915166631273976	-0.0
D3	-0.28550539746715486	0.0745633938761768	0.06707412059943015	-0.10488531471139606	0.21167349285523362	-0.06548715552042982	0.23881070262401394	-0.12833788658557974	0.16214737787511194	0.09740608308996687	0.00014106067807480568	-0.08552422842795653	-0.15111025594307712	0.06650176322922292	-0.0551828674527552	-0.0752807280486397	0.013525229228711069	-0.05027512503672709	-0.07333336456233311	-0.02882387635279889	0.0030506636660155083	-0.0306976191751009	0.0028263751408483364	0.01656602367040658	-0.011987510637611958	0.009392210320297986	0.002740990290517003	0.0025096304512612602	0.0027240406518039134	-0.014217133209406142	-0.009233236569619586	0.008406500594913076	0.004861392098967159	0.011787716169547116	0.0073880058236345456	-0.002004461062435129	-0.013850791104734307	-0.004666056828636539	-0.0018377151286439887	0.004067656705720478	-0.00155400794361589	0.0016259609722352568	-0.007910562238694185	-0.0010373958293928248	0.0034101625121569713	-0.003793766495679638	-0.002571670594931956	0.010246086067736686	-0.0031822400367301235	-0.0
D4	-0.30000123001656115	0.11367226642593191	0.1205613408397798	0.0681300482201882	-0.010635307395557547	0.031458212145830645	-0.10800915436803957	-0.08281050032687157	0.014305720404873665	0.07618466071821087	-0.20156624018168376	-0.11041482344871337	0.06881538720335563	-0.08224753700436459	0.10374756741648195	-0.1321177576472233	-0.2039734427509603	0.03637859335472604	0.0040699672090668505	-0.07355840196274568	0.030961322205222432	0.07637558622695559	-0.027885915887752154	-0.020898845927836154	-0.003143717428261132	0.023214641705597883	0.007329524604694633	0.003966284139633422	0.010846316440888596	-0.004857182255173268	0.007387814578636666	-0.004374122919271771	0.012175974039283935	-0.006704460865232465	-0.0036695674953491414	0.007760785602171341	0.0030830469231343206	-0.0008118862072203775	0.01092007364521492	-0.00031355331951253394	0.0038003413559468623	-0.0035159958558687743	0.0013370738518468624	-0.0033458245075158365	0.005261628161629323	-0.001318718901459794	-0.0026784622948785	0.0036011669745063075	0.0014969814883943316	-0.0
D5	-0.3977548725908982	0.12605542315202944	0.03406356297323681	-0.08270855985754796	-0.053252703716140146	-0.24990141897058493	-0.022895892530460666	-0.039657542517501046	-0.050260161499502715	0.11726274563426127	-0.012836323329197279	0.1203490259152754	-0.06421966469562607	0.04310493398215178	0.2113455651050711	0.18198630628908405	0.03663678563954481	0.06858427617620379	0.030765953279906	0.00368819575084737	0.03307492031021519	0.01569722603277699	0.0010630494159864009	0.0026383328423023834	-0.005610016617830718	-0.013182363110393681	-0.008949536393457132	-0.003827494453187653	-0.008466196871755169	0.0016097272226773091	-0.002089475419742839	-0.0030990151476629453	0.0020130394954511474	-0.0004675690004845336	0.002876234627849194	-0.00588306965573479	0.0008074740647425138	-0.005590304715579552	-0.0026215418030368707	-0.0020667808863580215	-0.0007197888490260334	-0.00032319662553240456	0.0011131671288693388	-0.0013143682384906858	0.0010815355822984746	-0.0006257925101956536	-0.0006150523245619612	-0.00041456991119277325	-0.0002866907008150461	-0.0
DF1	-0.3087127399580042	0.08832148315912755	0.06768008744466568	0.037878278860000676	-0.05358145750021114	0.029995429051359494	-0.0014403039059987415	0.22049769420227971	-0.034019119281535885	-0.10848501176060449	-0.004542879835702246	-0.17207749173875647	-0.09426341069979141	0.10798977875990602	0.16030340025043063	-0.12546828204822424	0.09250228293863243	-0.0015004853891627068	-0.023284957406582565	0.0816652754960869	-0.0662935386009631	-0.031338169981898714	0.01896096446786041	-0.03363862927005037	0.02105569292564642	-0.04032945880681919	-0.00811858273310066	-0.008111880634360174	-0.026495645321396442	0.018709735006506713	0.027681966352796756	-0.0044146050923057085	0.006194444436039362	-0.021352774741903214	-0.0055858718739322175	-0.0012657872941904443	0.00721772658741582	0.0012610920851651613	-0.007723868740611584	-0.000697361914228154	-0.0030769538530532174	0.004663393191824731	0.004024421993478995	0.006133753928261056	-0.007115476911524294	0.00577915074292161	0.005803390049510827	-0.0070740754755022825	-0.0005787770108587947	-0.0
DF2	-0.363242261046922	0.11557918482682282	0.048608668236277935	-0.07772996905767966	-0.10317255297498705	0.2901436426527964	0.05592063909581664	-0.18077924854750266	-0.2606977922926059	0.04552323656978399	0.04331683966104962	-0.010173895268997837	-0.05470045723389337	0.03318585228264897	-0.056951294388407	0.032002988446381844	0.021211289864393454	0.0019901468646018683	0.017856269904805246	0.07471216598837419	0.006241310532607483	0.027031374797491337	0.006158030981498146	-0.0030728974675416215	-0.009728625764416974	0.01667154164983636	-0.006638744729914605	-0.015172739668463067	-0.002942823008711912	-0.007702161731294377	-0.0015183134823018641	0.00034355167650438836	-0.004068392456276422	0.006631335558442253	-0.0010503053484453445	-0.007757629388740751	-0.003076615275124811	0.004214881041639022	-0.00415108888111253	-0.0038083906105402213	0.0009667892542527466	0.0030279172007277415	-0.002538227206019208	0.0008765924464911771	0.0013228099236263205	0.003141070322097041	0.0018266717815951861	0.001947508851488818	-0.003812347069813271	-0.0
DF3	-0.33648969857380856	0.08500839582398612	0.12178741845156688	0.022368685712468302	-0.11649152452997455	0.09473942153324212	-0.16290996667594737	-0.08455895843803765	0.2459565534473026	-0.11170255162928572	0.24796189352328976	0.0173738340548237	-0.061730308485353956	-0.05359969890160282	-0.0012993525006719292	0.01813468321034334	-0.006717019241331267	0.04907951249115035	0.013252219954963292	-0.058645893489872626	0.020975635923193597	-0.020119389727707018	-0.008016965461807829	-0.02158965921922928	0.007904383690370267	-0.0014700527731920316	0.01621729208148129	0.013376465132743601	-0.0024889318086364046	0.008153264562497464	-0.0032464685935051788	0.00857451283230856	-0.006494899917326336	0.009748465844755475	0.0032515584386305016	0.005109912129490378	0.007170130467534524	0.005308467203214625	0.0007368126007308035	0.007947006676178864	0.00016286223776012222	-0.00014608812274683865	0.004883136492930681	-0.006719036093296952	0.0033169955143821477	0.002548623141546094	0.00015013403933239597	0.0019263808794963459	0.0008065815576868828	-0.0
DF4	-0.4163503636798783	0.09355411861767367	0.0500602538235108	-0.06152320940187116	-0.021562085895749858	-0.18341559125605109	-0.07155833337194628	0.01626647774015541	-0.12092331782738582	-0.1387800038663895	-0.02748108342782161	0.21366210851145317	-0.003508436789727169	-0.00838621169022021	-0.15453661520554518	-0.170860982592384	-0.0012091368340056072	-0.08597595692187594	-0.04306429583983042	-0.038960537602937245	-0.029500263694434717	0.008772209525034236	0.023678603385440068	0.0004735898520320447	0.026785029891990473	-0.00024132219710851555	-0.00144657224238764	0.021688399339665574	0.005646079344768422	-8.808929072879231e-05	-0.0019073009282638085	-0.005787872848678898	-0.002304638597882564	0.001393750447578568	0.00286040940982927	-0.0031226973468892584	-0.0029695883120321427	0.0021088792707463873	-0.001727321013459513	-0.0031867727046952896	-0.005860709212055186	-0.0004724285739752031	-0.0002675026938941455	-0.0021277729312287543	-0.0020031900675535085	0.0011031900214375366	-0.0020399028566805825	-0.00043605023802513693	-0.0008477726804318844	-0.0
DF5	-0.04934613998677746	0.055393291208875775	0.15358100073801842	0.009938590576903123	0.15424343256099332	0.07043741437984224	0.006268777265266224	0.00954851415452126	0.04983679892514787	-0.23490732719154053	-0.10335178288186718	0.04880969326240461	0.04417238377245336	0.17684278392310504	-0.008393498970890678	0.18095800519757813	-0.145299372450572	-0.03132769322061548	-0.003895860744529856	0.065719332247737	-0.001959789777814283	0.0008101451992462254	-0.023618354569660483	0.0252498788695081	0.001401410767719255	0.018109839594983232	-0.0134519917806465	0.007688585267330893	0.01659636393269832	-0.01127866577785666	0.028566991263160414	-0.009052204743836827	0.021133093447951293	0.01672539193765722	-0.010187483169647803	0.01079469170679168	0.0017967960642902225	0.007756086031300331	-0.018074464107136944	0.0018144855725796697	0.00019465658293231573	-0.005105153095146903	0.0033341396399030163	0.003952482616477935	0.001310952356631164	0.00272307009141319	-0.0007258459574933473	0.007839723668033016	-0.0023881479545061575	-0.0
