pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
D1	-0.19367854407777854	-0.19370791201634502	-0.056531916914543456	-0.01564632498107948	-0.04010736035090061	0.04829773341088432	-0.01995635975618981	0.02704779612991169	0.03172306267931575	-0.012351239880445439	0.0646773453119659	-0.03905290407534515	-0.044141701445298644	-0.0032287771527721556	0.001544516418431197	0.01891237985967275	0.015204982653772264	-0.023918776102436676	-0.011745018955069103	0.009499041361354123	0.005931412458478755	-0.020710179471780856	0.02528445668655439	-0.027071274930215106	0.009951538857091729	-0.005098005792941941	-0.0009885779069259467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D2	-0.29193510646814774	-0.2618162862165024	-0.08208367164882939	-0.04063022543491353	-0.09131237915262287	0.022148351698200074	-0.02411082866472748	0.02736747597088359	0.022020984165958084	-0.05769123785436724	0.03385281159480194	0.031096135811376418	-0.05021649888888275	0.051530961320143	0.0011292761596789784	0.02110839321335807	-0.015191521569754712	0.0008259823253864663	0.022448308357227272	-0.02332374515201997	-0.03458060622180997	-0.0052960829510246945	-0.013112001952993058	0.006250514459113732	0.0029741832816764435	0.016474219845002844	-0.001388631750369856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D3	-0.05368302518713546	-0.09266211685141598	-0.11121351838045952	-0.035861826089655595	-0.01974473485081992	-0.04277335404737431	0.10563762670377466	-0.036880129052819524	-0.10515499607714265	-0.06492779369357975	-0.010257724779516425	0.050347374118704206	0.016390761806905487	0.041363978683233896	-0.03313259910663312	0.061678873312121144	0.011576595490766067	0.038931006922536156	0.01785466998646056	0.012633183385677585	0.012002622361916017	-0.014090971133114144	-0.010377390280341634	-0.0014134020532198888	0.00405252997755722	0.004775839712197286	0.0003954379872903049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D4	-0.025610224627375142	-0.010625859654263086	-0.2463974048772551	-0.05353217802977689	0.010817726913904025	-0.07970688302788863	0.019822780942185193	0.008866260013606067	-0.028111606726773503	-0.0913252365132508	0.03775764209095851	-0.004119172176150404	0.0003134518353403832	-0.002483679338250411	-0.0055785074570540065	0.003970420026054657	-0.007681781869575761	-0.00022791279752680792	-0.019048095485782915	0.00020156254465331208	-0.02629469735034006	0.01608510026438271	-0.0018787053301760229	0.008613375191095639	-0.00018161305941563727	-0.011437877340245144	-0.00016446194283304557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D5	-0.0896917547946247	-0.39071404540729776	0.07566986948403012	-0.05564966708234704	0.056997439931726276	-0.17228085919642885	0.07984565009346181	0.09083519085206337	-0.0017086937802912759	0.030272140643047223	0.016462380462686967	0.0018487083211910105	0.0601039112244438	-0.027904457496379296	-0.0035200662751038066	-9.930429822641753e-05	-0.013461679262679278	-0.02447084021519881	0.005601868476757122	0.004285226122234261	-0.0023408528173795387	0.0013137812008943738	0.00920758008248888	0.006127429845064583	-0.0020135879440469706	-0.00489950974697366	0.0004015737345446099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DF1	-0.19661950739554987	-0.16844721894413722	-0.08466241500776032	-0.02681777734693627	-0.008719825748215915	0.07880181649468275	0.009190372424279765	0.022223258011314074	0.024689123082895174	-0.03955590199563572	0.07631352511857327	-0.017721094919297107	-0.011493042834402783	-0.008838650827161516	0.022087019764751158	0.0038065024792369308	-0.035561422169396575	0.038219485084532455	-0.01994401308745956	0.007683124141851141	0.03747057705085137	0.009969289028708457	-0.014782963985589134	0.030564861331734944	-6.055193071354639e-05	-0.006700383119438566	0.0011532765276431915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DF2	-0.3558818410334135	-0.34746272592770977	-0.07420613484615103	0.008195263688732886	-0.17048210298036257	-0.09511837451835099	-0.002986922594127339	-0.029626814436004963	0.0007007556085003955	0.007570700007310908	-0.05455948982020647	0.06816321431573033	0.06420055762961614	-0.00600827481191151	0.03176582342687027	-0.002295773958744563	0.02887123102320395	0.00038429732969738644	-0.03060746423541907	0.029619104800769284	-0.011774454286132835	0.008376769878323906	-0.0055250561538236174	-0.004827009009492631	0.0012449428401101093	0.006311284383216002	2.4808312987064537e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DF3	-0.2498115143773696	-0.3200989614211214	-0.017816404111606163	-0.022860618643117038	-0.12719195236207945	-0.11163464053009572	0.0017471583611732907	-0.06262606275750528	-0.01302997285019755	0.04787946178287341	-0.0425285892730457	0.006608308571711439	-0.006053492449097635	-0.001273990532031683	-0.008332755551428178	0.007498053549304275	-0.007892183895602563	-0.005686111427991474	0.05122442071634507	-0.04576433641886688	0.017250702242686034	-0.005301436734979354	0.01025499479408762	0.0013628588077798777	-0.0012601497952199818	-0.021220079483554064	2.3122921132348372e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DF4	-0.20457012756689727	-0.3425440533756917	0.05227034228579374	-0.04406981117011014	-0.030312133853668526	-0.14115933977869052	-0.014243753251333533	-0.030480639648931194	-0.07257690631506461	0.0442069892496217	0.014020449569604214	-0.10595520721547144	-0.01916140946255691	-0.04709082895322538	-0.05892416222163069	-0.03794033347151265	0.003269783577236142	0.010805759785613099	-0.02596952480538435	0.020002702426673475	0.00017947921632756558	0.0029570601601987337	-0.0059759836221054425	-0.004995013850853362	-0.007043820047552273	0.009918850312154231	0.0007470277173297757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DF5	0.0006641028683535991	0.11344368261882706	-0.1352372798336188	-0.03289705687005175	0.00832950832313128	-0.0645357620716535	-0.01776953828697537	-0.10047590494174476	-0.025703370484064545	-0.02366474087224223	0.01141054168553752	-0.05480025085722388	0.0071745224237987374	-0.025311367335487937	0.04107128906102503	0.02574686171351396	0.015644560771526577	-0.053548239905297994	0.009977243671851647	-0.03449092468481664	0.02265696593077808	0.007441368448863251	0.006390033325525862	0.01125389594612088	0.01457361716636801	0.012800532416261006	0.001432892009838342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.K1	-0.02237177719625127	0.32113285533337405	0.07330202118647226	0.03376321075415988	-0.00380847905862466	-0.11538783755243938	0.006262672655749887	-0.02700677578181513	0.029406249609034072	-0.07200742400939422	0.028556531171971152	-0.00988423103662633	0.002962179841045354	-0.018277547601893564	0.02620032927300159	-0.023327780370832156	-0.010970222134044002	-0.002194564939464321	-0.009694625550057144	-0.004606831904523953	-0.0022827053433689994	-0.005213198838340755	-0.020289372944528115	-0.008610523736855837	-0.0020388502707618193	-0.012352028121384128	0.0005158514500651102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.K2	-0.2611659375689572	0.21596759964780932	0.29630144478302256	-0.023496334474772965	-0.07458531830338634	0.04236788376136333	0.025925749785684474	0.006871483420980167	0.07790427915125889	-0.027489300734088205	-0.045102183146080874	-0.015088199726794463	0.00522971099287793	-0.0017012171157544042	-0.012139833628510961	-0.028606424597517784	-0.04069732855403911	-0.006620761276140605	-0.0048720212468071475	0.01805228075067525	0.0019607293429085835	0.0020028705225567526	0.010047824241821499	0.005482708477430986	0.001375261261370029	0.0010728521670190397	-0.0007264812611638787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
